subject_id,slice_index,component_count,retained_component_boxes,gt_area,coarse_size,perturbation,perturbation_radius,single_dice,single_iou,single_precision,single_recall,single_hausdorff_px,single_mask_area_pred,multi_dice,multi_iou,multi_precision,multi_recall,multi_hausdorff_px,multi_mask_area_pred,mask_only_dice,mask_only_iou,mask_only_precision,mask_only_recall,mask_only_hausdorff_px,mask_only_mask_area_pred,box_mask_dice,box_mask_iou,box_mask_precision,box_mask_recall,box_mask_hausdorff_px,box_mask_mask_area_pred,multi_over_single_dice,mask_only_over_single_dice,box_mask_over_multi_dice,best_mask_over_best_box_dice
sub-086,34,1,1,6679,32,none,1,0.9662104693419934,0.9346297681376216,0.9990406140070355,0.9354693816439587,6.708203932499369,6254,0.9662104693419934,0.9346297681376216,0.9990406140070355,0.9354693816439587,6.708203932499369,6254,0.0,0.0,1.0,0.0,nan,0,0.9814998096688238,0.963671699805651,0.998451053283767,0.9651145381045066,3.1622776601683795,6456,0.0,-0.9662104693419934,0.01528934032683038,0.01528934032683038
sub-086,35,1,1,6590,32,none,1,0.9572987505930729,0.9180949491885333,0.9995046235138706,0.9185128983308043,6.4031242374328485,6056,0.9572987505930729,0.9180949491885333,0.9995046235138706,0.9185128983308043,6.4031242374328485,6056,0.0,0.0,1.0,0.0,nan,0,0.9793647113378159,0.959563834620627,0.9979524334540872,0.9614567526555386,2.8284271247461903,6349,0.0,-0.9572987505930729,0.022065960744742985,0.022065960744742985
sub-086,36,1,1,6465,32,none,1,0.9307323524549512,0.870439084724799,0.9994674241079354,0.8708430007733952,14.422205101855956,5633,0.9307323524549512,0.870439084724799,0.9994674241079354,0.8708430007733952,14.422205101855956,5633,0.0,0.0,1.0,0.0,nan,0,0.9632770621649732,0.929155733909554,0.9976798143851509,0.9311678267594741,5.830951894845301,6034,0.0,-0.9307323524549512,0.03254470971002199,0.03254470971002199
sub-086,37,1,1,6319,32,none,1,0.9336820789740128,0.8756132299414464,1.0,0.8756132299414464,15.811388300841896,5533,0.9336820789740128,0.8756132299414464,1.0,0.8756132299414464,15.811388300841896,5533,0.0,0.0,1.0,0.0,nan,0,0.955724434164877,0.915203290618573,0.9996543977881458,0.9154929577464789,14.866068747318506,5787,0.0,-0.9336820789740128,0.02204235519086417,0.02204235519086417
sub-086,38,2,2,6152,32,none,1,0.9340469613259669,0.876255264010366,0.9959499263622975,0.8793888166449935,15.811388300841896,5432,0.9419917864476386,0.8903444929645803,0.994400289017341,0.8948309492847855,14.866068747318506,5536,0.0,0.0,1.0,0.0,nan,0,0.9579647881391626,0.9193209377526274,0.9942297604476307,0.9242522756827048,14.317821063276353,5719,0.007944825121671717,-0.9340469613259669,0.015973001691524047,0.015973001691524047
sub-086,39,3,3,5942,32,none,1,0.9477776795970664,0.900738998992274,0.9977674418604651,0.9025580612588354,16.15549442140351,5375,0.9634782608695652,0.9295302013422819,0.9967614249730119,0.9323460114439582,5.0,5558,0.0,0.0,1.0,0.0,nan,0,0.9732565138876945,0.9479061976549413,0.9950764902409003,0.9523729384045776,4.47213595499958,5687,0.015700581272498848,-0.9477776795970664,0.00977825301812929,0.00977825301812929
sub-086,40,3,3,5723,32,none,1,0.9486945408070111,0.9023966655088572,0.9933091187153508,0.9079154289708194,16.76305461424021,5231,0.9547163057096832,0.9133561643835616,0.9785360484314805,0.9320286562991438,4.47213595499958,5451,0.0,0.0,1.0,0.0,nan,0,0.9642888790429774,0.9310403832991102,0.9782452355267889,0.9507251441551634,4.0,5562,0.006021764902672144,-0.9486945408070111,0.009572573333294199,0.009572573333294199
sub-086,41,3,3,5453,32,none,1,0.9418230054955468,0.8900429799426934,0.9743187610272496,0.9114249037227214,24.041630560342615,5101,0.9427345644469315,0.8916725476358504,0.9591952932245208,0.926829268292683,24.041630560342615,5269,0.0,0.0,1.0,0.0,nan,0,0.9565620079651755,0.9167406355405645,0.9663173652694611,0.9470016504676325,5.656854249492381,5344,0.0009115589513847278,-0.9418230054955468,0.013827443518244054,0.013827443518244054
sub-086,42,2,2,5166,32,none,1,0.9576430909631981,0.9187285877426723,0.9820956256358088,0.9343786295005807,14.866068747318506,4915,0.9590689417102278,0.921356831533068,0.9776794691333199,0.9411536972512582,5.0,4973,0.0,0.0,1.0,0.0,nan,0,0.9610541727672035,0.9250281848928974,0.9692852923803899,0.9529616724738676,4.123105625617661,5079,0.0014258507470297221,-0.9576430909631981,0.001985231056975678,0.001985231056975678
sub-086,43,2,1,4936,32,none,1,0.9591016792005769,0.9214172604908947,0.9756864389016977,0.9430713128038898,11.0,4771,0.9591016792005769,0.9214172604908947,0.9756864389016977,0.9430713128038898,11.0,4771,0.0,0.0,1.0,0.0,nan,0,0.9640184520758586,0.9305363150603602,0.9757211039634779,0.9525931928687196,10.04987562112089,4819,0.0,-0.9591016792005769,0.004916772875281694,0.004916772875281694
sub-086,44,1,1,4724,32,none,1,0.9387755102040817,0.8846153846153846,0.9689119170984456,0.9104572396274344,6.082762530298219,4439,0.9387755102040817,0.8846153846153846,0.9689119170984456,0.9104572396274344,6.082762530298219,4439,0.0,0.0,1.0,0.0,nan,0,0.9575380656229895,0.9185352808064184,0.9702303346371143,0.9451735817104149,5.0,4602,0.0,-0.9387755102040817,0.01876255541890781,0.01876255541890781
sub-086,45,1,1,4497,32,none,1,0.9216846501914375,0.854744996772111,0.9636098981077147,0.8832555036691128,6.0,4122,0.9216846501914375,0.854744996772111,0.9636098981077147,0.8832555036691128,6.0,4122,0.0,0.0,1.0,0.0,nan,0,0.9532163742690059,0.9106145251396648,0.9642775881683732,0.9424060484767622,5.0,4395,0.0,-0.9216846501914375,0.031531724077568324,0.031531724077568324
sub-086,46,1,1,4245,32,none,1,0.935692087018886,0.8791554357592093,0.9497694734287794,0.9220259128386337,5.830951894845301,4121,0.935692087018886,0.8791554357592093,0.9497694734287794,0.9220259128386337,5.830951894845301,4121,0.0,0.0,1.0,0.0,nan,0,0.947120480508774,0.8995525727069351,0.9470089495996232,0.9472320376914016,5.830951894845301,4246,0.0,-0.935692087018886,0.011428393489888,0.011428393489888
